No.,Estado,Sistema,Nombre_común,Género,Especie,Región, Localidad,Latitud,Longitud,Altitud,CodMunicip,Municipio
NA,Oaxaca,Agroforestal,liquidambar,Liquidambar,sp,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
NA,Oaxaca,Monocultivo,Mango,Mangifera,indica,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
NA,Oaxaca,Monocultivo,Chicozapote,Manilkara,zapota,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
NA,Oaxaca,Monocultivo,yerba buena,Mentha,spicata,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
NA,Oaxaca,Monocultivo,platanos,Musa,paradisiaca,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
NA,Oaxaca,Agroforestal,orquideas ,Orchidaceae,sp,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
NA,Oaxaca,Monocultivo,oregano,Origanum,vulgare,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
NA,Oaxaca,Monocultivo,frjol ,Phaseolus,vulgaris,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
NA,Oaxaca,Agroforestal,Chiapences,Pinus,chiapensis,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
NA,Oaxaca,Agroforestal,Pinos,Pinus,sp,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
NA,Oaxaca,Monocultivo,herba santa,Piper,auritum,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
NA,Oaxaca,Monocultivo,Caña,Saccharum,officinarum,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
NA,Oaxaca,Agroforestal,Caoba,Swietenia,mahogani,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
NA,Oaxaca,Monocultivo,Cacao,Theobroma,cacao,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
NA,Oaxaca,Monocultivo,Maíz,Zea,mays,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
NA,Oaxaca,Agroforestal,piña,Ananas,comosus,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Anona,Annona,sp,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,NA,Águila,Aquila,sp,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,NA,tucan,Aulacorinchus,prasinus,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,coyote,Canis,latrans,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Chile,Capsicum,annuum,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Chile canario,Capsicum,annuum,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Chile piquín,Capsicum,annuum,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,papaya,Carica,papaya,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,Cedro,Cedrela,odorata,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Tepejilote,Chamaedorea,tepejilote,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,sandia,Citrullus,lanatus,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Naranja,Citrus,sp,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,lima,Citrus,limetta,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,limon,Citrus,limon,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Café,Coffea,arabica,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,Café,Coffea,arabica,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,NA,palomas,columbidae,sp,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,zopilote,Coragyps,atratus,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,Codorniz,Coturnix,sp,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Chepil,Crotalaria,longirostrata,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,vibora de cascabel,Crotallus,sp,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,Armadillo,Lasianthus,sp,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
NA,Oaxaca,Bosque Mesofilo de Montaña,tlacuache,Didelphis,marsupialis,region loxicha,san agustin loxicha,16.016374,-96.615621,1838,20085,San Agustin Loxicha
